# ExoRehab 3D - Trajetoria de Exoesqueleto
# Tipo: Braço (Membro Superior)
# Gerado em: 29/11/2025 10:30:00
# Total de frames: 50
# Algoritmo: A* (Otimizado)
#
frame,theta1_deg,theta2_deg,theta1_rad,theta2_rad
1,20.0000,-20.0000,0.349066,-0.349066
2,22.3456,-18.2341,0.389823,-0.318145
3,24.8912,-16.5682,0.434547,-0.289224
4,27.6234,-14.9823,0.482156,-0.261503
5,30.5421,-13.4764,0.533025,-0.235282
6,33.6473,-12.0505,0.586891,-0.210361
7,36.9390,-10.7046,0.643754,-0.186740
8,40.4172,-9.4387,0.703614,-0.164719
9,44.0819,-8.2528,0.766471,-0.143998
10,47.9331,-7.1469,0.832325,-0.124677
11,51.9708,-6.1210,0.901176,-0.106756
12,56.1950,-5.1751,0.973024,-0.090235
13,60.6057,-4.3092,1.047869,-0.075114
14,65.2029,-3.5233,1.125711,-0.061493
15,70.0000,-2.8174,1.221730,-0.049172
16,74.9000,-2.2000,1.307177,-0.038397
17,79.8500,-1.6500,1.393477,-0.028798
18,84.8000,-1.1800,1.479778,-0.020594
19,89.7500,-0.8000,1.566078,-0.013963
20,94.7000,-0.5000,1.652379,-0.008727
21,99.6500,-0.2800,1.738679,-0.004887
22,104.6000,-0.1400,1.824980,-0.002443
23,109.5500,-0.0800,1.911280,-0.001396
24,114.5000,-0.1000,1.997580,-0.001745
25,119.4500,-0.2000,2.083881,-0.003491
26,124.4000,-0.3800,2.170181,-0.006633
27,129.3500,-0.6400,2.256482,-0.011170
28,134.3000,-0.9800,2.342782,-0.017104
29,139.2500,-1.4000,2.429082,-0.024435
30,144.2000,-1.9000,2.515383,-0.033161
31,149.1500,-2.4800,2.601683,-0.043284
32,154.1000,-3.1400,2.687984,-0.054803
33,159.0500,-3.8800,2.774284,-0.067719
34,164.0000,-4.7000,2.860585,-0.082030
35,168.9500,-5.6000,2.946885,-0.097738
36,173.9000,-6.5800,3.033185,-0.114843
37,178.8500,-7.6400,3.119486,-0.133344
38,183.8000,-8.7800,3.205786,-0.153242
39,188.7500,-10.0000,3.292087,-0.174533
40,193.7000,-11.3000,3.378387,-0.197222
41,198.6500,-12.6800,3.464687,-0.221307
42,203.6000,-14.1400,3.550988,-0.246788
43,208.5500,-15.6800,3.637288,-0.273666
44,213.5000,-17.3000,3.723589,-0.301941
45,218.4500,-19.0000,3.809889,-0.331613
46,223.4000,-20.7800,3.896190,-0.362681
47,228.3500,-22.6400,3.982490,-0.395146
48,233.3000,-24.5800,4.068790,-0.429007
49,238.2500,-26.6000,4.155091,-0.464265
50,243.2000,-28.7000,4.241391,-0.500920

